#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-10-30T14:32:11 [V1.97 (28-Nov-2012)]
#
#   Modified by Nate McCrady 2014 Jan 3 to include V Mag from SIMBAD
#   and fix incorrect units on star masses
#RESOURCE=yCat_1021033001
#Name: J/other/Sci/330.653
#Title: Detected planets in the Eta-Earth Survey (Howard+, 2010)
#Table J_other_Sci_330_653_tables1:
#Name: J/other/Sci/330.653/tables1
#Title: G and K-type target stars in the Eta-Earth Survey
#---Details of Columns:
    Star           (A9)    Star name [ucd=meta.id;meta.main]
    SpType         (A2)    MK spectral type [ucd=src.spType]
    Mass (sunMass) (F5.2)  Mass, in solar mass [ucd=phys.mass]
    _RA (deg)      (F9.5)  Right Ascension (J2000) from SIMBAD (not part of the original data) [ucd=pos.eq.ra;meta.main]
    _DE (deg)      (F9.5)  Declination (J2000) from SIMBAD (not part of the original data) [ucd=pos.eq.dec;meta.main]
#
                        Sp     Mass                     
                        Ty    (solar                     
        Star            pe     Mass)   _RA (deg)       _DE (deg)       V Mag
        ---------       --     -----   ---------       ---------       ------
0	HD   1461	G0	1.08	4.67445		-8.053		6.46
1	HD   3651	K0	0.89	9.84086		21.25047	5.88
2	HD   3765	K2	0.84	10.20529	40.18717	7.36
3	HD   4256	K2	0.85	11.27039	1.78552		8.001
4	HD   4614	G0	0.99	12.27621	57.81519	3.45
5	HD   4614	K7	0.57	12.27621	57.81519	3.45
6	HD   4628	K2	0.72	12.09574	5.28061		5.74
7	HD   4747	G8	0.82	12.36152	-23.21248	7.155
8	HD   4915	G0	0.9	12.7952		-5.03928	6.972
9	HD   7924	K0	0.83	20.49631	76.71028	7.185
10	HD   9407	G6	0.98	23.6386		68.94814	6.53
11	HD  10476	K1	0.83	25.62401	20.2685		5.20
12	HD  10700	G8	0.95	26.01701	-15.93748	3.50
13	HD  12051	G5	0.99	29.77764	33.20968	7.14
14	HD  12846	G2	0.88	31.62602	24.33399	6.885
15	HD  14412	G5	0.78	34.74377	-25.94569	6.34
16	HD  16160	K3	0.76	39.02039	6.88687		5.83
17	HD  17230	K5	0.69	41.57199	11.77524	8.574
18	HD  18143	G5	0.9	43.91274	26.87322	7.58
19	HD  18803	G8	1	45.60845	26.60924	6.624
20	HD  19373	G0	1.2	47.26675	49.61328	4.05
21	HD  20165	K1	0.82	48.69678	8.98079		7.800
22	HD  20619	G1	0.91	49.75789	-2.84319	7.039
23	HD  22879	F9	0.79	55.09194	-3.21698	6.667
24	HD  23356	K2	0.78	55.9806		-19.1109	7.081
25	HD  23439	K1	0.67	56.75882	41.42726	8.78
26	HD  24238	K0	0.73	58.76601	61.16681	7.85
27	HD  24496	G0	0.94	58.6168		16.61605	6.810
28	HD  25329	K1	0.83	60.8125		35.27328	8.50
29	HD  25665	G5	0.78	62.396		69.54139	7.697
30	HD  26965	K1	0.78	63.818		-7.65287	4.41
31	HD  29883	K5	0.76	70.89765	27.6874		8.01
32	HD  32147	K3	0.83	75.20417	-5.75368	6.22
33	HD  32923	G4	1.03	76.86253	18.64505	5.01
34	HD  34721	G0	1.12	79.7103		-18.13005	5.96
35	HD  34411	G0	1.13	79.78531	40.09905	4.70
36	HD  36003	K5	0.73	82.10873	-3.49956	7.642
37	HD  37008	K2	0.73	84.54942	51.44574	7.73
38	HD  38230	K0	0.83	86.50786	37.28465	7.36
39	HD  38858	G4	0.92	87.14559	-4.09465	5.966
40	HD  40397	G0	0.92	89.58973	-4.65067	6.984
41	HD  42618	G4	0.96	93.00236	6.78307		6.839
42	HD  45184	G2	1.04	96.18283	-28.78011	6.374
43	HD  48682	G0	1.17	101.68474	43.57743	5.252
44	HD  50692	G0	1	103.82778	25.3757		5.760
45	HD  51419	G5	0.86	104.54896	22.47589	6.94
46	HD  51866	K3	0.78	105.41079	48.37867	8.00
47	HD  52711	G4	1.02	105.87691	29.33708	5.93
48	HD  55575	G0	1.26	108.95891	47.23996	5.554
49	HD  62613	G8	0.94	119.07179	80.26554	6.56
50	HD  65277	K5	0.72	119.49078	-0.81442	8.77
51	HD  65583	G8	0.76	120.13387	29.21236	6.94
52	HD  68017	G4	0.85	122.91102	32.45713	6.81
53	HD  69830	K0	0.87	124.59978	-12.63217	5.95
54	HD  72673	K0	0.78	128.21457	-31.50085	6.38
55	HD  73667	K1	0.72	129.96163	11.52267	7.582
56	HD  75732	G8	0.91	133.14921	28.33082	5.95
57	HD  84035	K5	0.73	145.85691	42.69156	8.16
58	HD  84117	G0	1.15	145.56007	-23.91557	4.94
59	HD  84737	G0	1.22	147.14738	46.02101	5.10
60	HD  86728	G3	1.08	150.25274	31.92367	5.40
61	HD  87883	K0	0.8	152.17975	34.24226	7.55
62	HD  89269	G5	0.89	154.71645	44.04832	6.65
63	HD  90156	G5	0.9	155.98031	-29.64553	6.920
64	HD  92719	G2	1.1	160.55551	-13.78771	6.767
65	HD  95128	G1	1.08	164.86656	40.43026	5.04
66	HD  97101	K8	0.6	167.77155	30.44602	8.31
67	HD  97343	G8	0.89	168.00496	-26.13667	7.037
68	HD  97658	K1	0.78	168.63818	25.71038	7.714
69	HD  98281	G8	0.85	169.59171	-5.0673		7.232
70	HD  99491	K0	1.01	171.68884	3.0131		6.49
71	HD  99492	K2	0.86	171.69282	3.00633		7.530
72	HD 100180	G0	1.1	172.93727	14.3645		6.20
73	HD 100623	K0	0.77	173.62286	-32.83134	5.98
74	HD 103932	K5	0.76	179.4842	-27.70704	6.964
75	HD 104304	G9	1.02	180.18521	-10.44601	5.54
76	HD 109358	G0	1	188.4356	41.35748	4.25
77	HD 110315	K2	0.7	190.277		15.37666	7.90
78	HD 110897	G0	1.23	191.24752	39.27892	6.00
79	HD 114613	G3	1.28	198.01327	-37.80302	4.85
